20/05/2012,16:03:55,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,16:03:55 3388952 Seconds."
20/05/2012,15:03:55,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,15:03:54 3385361 Seconds."
20/05/2012,14:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,14:03:54 3381770 Seconds."
20/05/2012,13:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,13:03:54 3378179 Seconds."
20/05/2012,12:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,12:03:54 3374588 Seconds."
20/05/2012,11:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,11:03:54 3370998 Seconds."
20/05/2012,10:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,10:03:54 3367407 Seconds."
20/05/2012,09:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,09:03:54 3363816 Seconds."
20/05/2012,08:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,08:03:54 3360225 Seconds."
20/05/2012,07:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,07:03:54 3356634 Seconds."
20/05/2012,06:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,06:03:54 3353043 Seconds."
20/05/2012,05:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,05:03:54 3349452 Seconds."
20/05/2012,04:43:43,SceCli,Information,None,1704,N/A,AVC-SR-001,Security policy in the Group policy objects has been applied successfully.
20/05/2012,04:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,04:03:54 3345862 Seconds."
20/05/2012,04:01:45,MR_MONITOR,Information,CTRL ,35,N/A,AVC-SR-001,Controller ID: 0  Patrol Read complete.
20/05/2012,03:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,03:03:54 3342271 Seconds."
20/05/2012,02:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,02:03:54 3338680 Seconds."
20/05/2012,01:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,01:03:54 3335089 Seconds."
20/05/2012,00:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-20,00:03:54 3331498 Seconds."
19/05/2012,23:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,23:03:54 3327907 Seconds."
19/05/2012,22:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,22:03:54 3324316 Seconds."
19/05/2012,21:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,21:03:54 3320726 Seconds."
